Codigo,CodCompra,RubroC,Item,Stock,Precio,PrecioCba,Marca,Precio5
230,746,HERRAMIENTAS>DE CONSTRUCCION>FRATACHOS>PLASTICO,FRATACHO PLASTICO 12 X 35 CM P/GRUESO,45,360,218.48,Publish,291
1922,7015,HERRAMIENTAS>FRESADORA>>,FRESADORA CANILLA X 3 PIEZAS,9,2641,1933.31,Publish,2572
3067,107,HERRAMIENTAS>DE AUTOMOVIL>GATOS>,GATO CRIQUE BOTELLA 2 TON C107,3,6256,4651.7,Publish,6187
3346,108,HERRAMIENTAS>DE AUTOMOVIL>GATOS>,GATO CRIQUE BOTELLA 3 TON C108,0,4429,3277.82,Draft,4360
1077,12520,HERRAMIENTAS>DE AUTOMOVIL>GATOS>,"GATO TIJERA HASTA 1,5T",2,4694,3477.31,Publish,4625
2455,2329,HERRAMIENTAS>ENGRAMPADORA>>,GRAMPA P/ ENGRAMPADORA 10MM CAJA X 1000 BREMEN,1,577,381.69,Publish,508
1754,EVOL0071,HERRAMIENTAS>ENGRAMPADORA>>,GRAMPA P/ ENGRAMPADORA DE .6MM CAJA X 1000 UN.,123,192,101.91,Publish,123
1908,EVOL0070,HERRAMIENTAS>ENGRAMPADORA>>,GRAMPA P/ ENGRAMPADORA DE .8MM CAJA X 1000 UN.,183,204,112.27,Publish,135
1756,EVOL0138,HERRAMIENTAS>ENGRAMPADORA>>,GRAMPA P/ ENGRAMPADORA DE 10MM CAJA X 1000 UN.,119,228,132.1,Publish,159
1304,EVOL0139,HERRAMIENTAS>ENGRAMPADORA>>,GRAMPA P/ ENGRAMPADORA DE 12MM CAJA X 1000 UN.,172,243,144.72,Publish,174
